row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
66,Data\groud_truth\template\create_vpc_example.yaml,20260406_204023_c916d108,ok,False,5.0,10.0,21588.0,0.0,0.0,18486.0,3102.0,577.467,
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,20260406_205001_e419bace,ok,False,5.0,10.0,126650.0,0.0,0.0,110948.0,15702.0,2404.115,
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,20260406_213005_d29d86b2,ok,True,1.0,2.0,2668.0,0.0,0.0,2222.0,446.0,63.025,
69,Data\groud_truth\template\s3_dynamodb.yaml,20260406_213108_00fb6d70,ok,True,2.0,4.0,6547.0,0.0,0.0,4758.0,1789.0,231.994,
70,Data\groud_truth\template\base-network.yaml,20260406_213500_eb79cca5,ok,True,1.0,2.0,4122.0,0.0,0.0,2358.0,1764.0,233.461,
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,20260406_213853_e43b5148,ok,False,5.0,10.0,22003.0,0.0,0.0,18781.0,3222.0,426.336,
72,Data\groud_truth\template\code-server-stack.yaml,20260406_214600_1a5e5fd5,ok,False,5.0,10.0,61047.0,0.0,0.0,51080.0,9967.0,2053.98,
73,Data\groud_truth\template\easy-ecs-cluster.yaml,20260406_222014_512abb28,ok,True,1.0,2.0,2522.0,0.0,0.0,2162.0,360.0,112.807,
74,Data\groud_truth\template\task-def-book.yaml,20260406_222206_ad4f4b3a,ok,True,1.0,2.0,3176.0,0.0,0.0,2390.0,786.0,163.407,
75,Data\groud_truth\template\CPUStressInstances.yaml,20260406_222450_2045aa18,ok,False,5.0,10.0,113068.0,0.0,0.0,97588.0,15480.0,3711.947,
76,Data\groud_truth\template\setup-users.yaml,20260406_232642_37ed3a68,ok,True,4.0,8.0,64523.0,0.0,0.0,59555.0,4968.0,1740.496,
